 Count  Overhead File                    Line Function
 =====  ======== ====                    ==== ========
     1         0 …eat3d_NonUniformII.jl   811 CalcAX!(ap::Array{Float64, 3}, p:…
     1         0 …eat3d_NonUniformII.jl   808 CalcAX!(ap::Array{Float64, 3}, p:…
     1         0 …eat3d_NonUniformII.jl   597 PBiCGSTAB!(X::Array{Float64, 3}, …
     1         0 …/Printf/src/Printf.jl   934 format(::Base.PipeEndpoint, ::Pri…
     1         0 @Base/io.jl              721 write
     1         0 @Base/io.jl              698 unsafe_write
     1         0 @Base/stream.jl         1120 unsafe_write(s::Base.PipeEndpoint…
     1         0 @Base/stream.jl         1048 uv_write(s::Base.PipeEndpoint, p:…
     1         0 @Base/task.jl            994 wait()
     1         0 @Base/task.jl            985 poptask(W::Base.IntrusiveLinkedLi…
     1         0 @Base/stream.jl         1166 uv_writecb_task(req::Ptr{Nothing}…
     1         0 @Base/task.jl            849 schedule
     1         0 @Base/task.jl            860 schedule(t::Task, arg::Any; error…
     1         0 @Base/task.jl            793 enq_work(t::Task)
     1         1 @Base/task.jl            704 push!(W::Base.IntrusiveLinkedList…
     1         0 …eat3d_NonUniformII.jl   307 sor!(p::Array{Float64, 3}, SZ::Tu…
     1         1 …eat3d_NonUniformII.jl   706 Fdot2(x::Array{Float64, 3}, y::Ar…
     1         1 @Base/float.jl           447 rem_internal(x::Float64, y::Float…
     1         1 …eat3d_NonUniformII.jl   878 BICG2!(z::Array{Float64, 3}, x::A…
     1         0 …eat3d_NonUniformII.jl   587 PBiCGSTAB!(X::Array{Float64, 3}, …
     1         0 …eat3d_NonUniformII.jl   128 boundary_condition3!(p::Array{Flo…
     1         0 …eat3d_NonUniformII.jl   813 CalcAX!(ap::Array{Float64, 3}, p:…
     1         1 …eat3d_NonUniformII.jl   668 CalcRK!(SZ::Tuple{Int64, Int64, I…
     1         0 …eat3d_NonUniformII.jl   653 CalcRK!(SZ::Tuple{Int64, Int64, I…
     1         0 …eat3d_NonUniformII.jl   654 CalcRK!(SZ::Tuple{Int64, Int64, I…
     1         0 @Base/dict.jl            266 ht_keyindex(h::Dict{String, Real}…
     1         1 @Base/Base.jl             37 getproperty
     1         0 …eat3D/model/modelA.jl   434 FillResin!(ID::Array{UInt8, 3}, S…
     1         0 …eat3D/model/modelA.jl   353 is_included_sph(a1::Vector{Float6…
     1         0 @Base/int.jl              97 /
     1         0 @Base/float.jl           294 float
     1         0 @Base/float.jl           268 AbstractFloat
     1         1 @Base/float.jl           159 Float64
