Z [mm], Temperature [K]
0.00000000000000E+00, 3.00000000000000E+02
5.00000000000000E-03, 3.03824549918341E+02
4.50000000000000E-02, 3.34355045201085E+02
5.00000000000000E-02, 3.38103151687043E+02
5.50000000000000E-02, 3.39554394040138E+02
9.50000000000000E-02, 3.50617716250760E+02
1.00000000000000E-01, 3.51992026805294E+02
1.05000000000000E-01, 3.52000474286421E+02
1.90000000000000E-01, 3.52130728574833E+02
1.95000000000000E-01, 3.52134379459555E+02
2.00000000000000E-01, 3.52137582794767E+02
2.05000000000000E-01, 3.52652454732779E+02
2.45000000000000E-01, 3.56757329726408E+02
2.50000000000000E-01, 3.57270962145677E+02
2.55000000000000E-01, 3.57274315860748E+02
3.40000000000000E-01, 3.57355539514203E+02
3.45000000000000E-01, 3.57357548505159E+02
3.50000000000000E-01, 3.57359247275462E+02
3.55000000000000E-01, 3.57632217600978E+02
3.95000000000000E-01, 3.59805654445959E+02
4.00000000000000E-01, 3.60077291888697E+02
4.05000000000000E-01, 3.60078997598878E+02
4.90000000000000E-01, 3.60110474750035E+02
4.95000000000000E-01, 3.60110641391687E+02
5.00000000000000E-01, 3.60110619567259E+02
5.05000000000000E-01, 3.60106920302515E+02
5.45000000000000E-01, 3.60071051832989E+02
5.50000000000000E-01, 3.60066480071759E+02
5.55000000000000E-01, 3.60066452520464E+02
5.95000000000000E-01, 3.60066264583455E+02
6.00000000000000E-01, 3.60066254551928E+02
