Z [mm], Temperature [K]
0.00000000000000E+00, 3.00000000000000E+02
5.00000000000000E-03, 3.03824774684886E+02
4.50000000000000E-02, 3.34357064510571E+02
5.00000000000000E-02, 3.38105391619683E+02
5.50000000000000E-02, 3.39556719493978E+02
9.50000000000000E-02, 3.50620696369746E+02
1.00000000000000E-01, 3.51995088623503E+02
1.05000000000000E-01, 3.52003536714141E+02
1.90000000000000E-01, 3.52133811819556E+02
1.95000000000000E-01, 3.52137463771359E+02
2.00000000000000E-01, 3.52140668184259E+02
2.05000000000000E-01, 3.52655713487008E+02
2.45000000000000E-01, 3.56761974829690E+02
2.50000000000000E-01, 3.57275780739112E+02
2.55000000000000E-01, 3.57279135504988E+02
3.40000000000000E-01, 3.57360387307690E+02
3.45000000000000E-01, 3.57362397162762E+02
3.50000000000000E-01, 3.57364096622919E+02
3.55000000000000E-01, 3.57637177772820E+02
3.95000000000000E-01, 3.59811498725852E+02
4.00000000000000E-01, 3.60083246824853E+02
4.05000000000000E-01, 3.60084953357143E+02
4.90000000000000E-01, 3.60116446058703E+02
4.95000000000000E-01, 3.60116613038253E+02
5.00000000000000E-01, 3.60116591599829E+02
5.05000000000000E-01, 3.60112954471200E+02
5.45000000000000E-01, 3.60077580371639E+02
5.50000000000000E-01, 3.60073070242282E+02
5.55000000000000E-01, 3.60073043072715E+02
5.95000000000000E-01, 3.60072856632591E+02
6.00000000000000E-01, 3.60072846600124E+02
