Z [mm], Temperature [K]
0.00000000000000E+00, 3.00000000000000E+02
5.00000000000000E-03, 3.03809766769704E+02
4.50000000000000E-02, 3.34235444074011E+02
5.00000000000000E-02, 3.37984290389429E+02
5.50000000000000E-02, 3.39438942894205E+02
9.50000000000000E-02, 3.50640092674104E+02
1.00000000000000E-01, 3.52033266950901E+02
1.05000000000000E-01, 3.52041828862039E+02
1.90000000000000E-01, 3.52172895567633E+02
1.95000000000000E-01, 3.52176685606875E+02
2.00000000000000E-01, 3.52180041030033E+02
2.05000000000000E-01, 3.52719392104208E+02
2.45000000000000E-01, 3.57020316317593E+02
2.50000000000000E-01, 3.57558377461140E+02
2.55000000000000E-01, 3.57561872702325E+02
3.40000000000000E-01, 3.57643657452775E+02
3.45000000000000E-01, 3.57645749637034E+02
3.50000000000000E-01, 3.57647538655825E+02
3.55000000000000E-01, 3.57935033650448E+02
3.95000000000000E-01, 3.60224794968498E+02
4.00000000000000E-01, 3.60510928235656E+02
4.05000000000000E-01, 3.60512713265170E+02
4.90000000000000E-01, 3.60544585738240E+02
4.95000000000000E-01, 3.60544760342339E+02
5.00000000000000E-01, 3.60544740606871E+02
5.05000000000000E-01, 3.60541371902248E+02
5.45000000000000E-01, 3.60508118032151E+02
5.50000000000000E-01, 3.60503873068670E+02
5.55000000000000E-01, 3.60503846565701E+02
5.95000000000000E-01, 3.60503669922700E+02
6.00000000000000E-01, 3.60503659818487E+02
