# Convergence History Data
# Solver: jacobi
# Generated: 2025-09-05 14:16:37
Iteration,Residual
1,1.00000000000000E+00
2,5.60174990676968E-01
3,3.68049473066512E-01
4,2.70189003678662E-01
5,2.13920301169731E-01
6,1.78101567189105E-01
7,1.53414053040511E-01
8,1.35345643505982E-01
9,1.21509183297094E-01
10,1.10539995637668E-01
11,1.01605461433758E-01
12,9.41694761182886E-02
13,8.78711491113855E-02
14,8.24583877416466E-02
15,7.77495535339957E-02
16,7.36102906320495E-02
17,6.99389607439983E-02
18,6.66571702420535E-02
19,6.37034235741475E-02
20,6.10287591782330E-02
21,5.85936790836823E-02
22,5.63659443384571E-02
23,5.43189631630011E-02
24,5.24305931487505E-02
25,5.06822380067765E-02
26,4.90581573296881E-02
27,4.75449327236764E-02
28,4.61310503000198E-02
29,4.48065708389146E-02
30,4.35628667675507E-02
31,4.23924105949268E-02
32,4.12886033610481E-02
33,4.02456344838652E-02
34,3.92583664492787E-02
35,3.83222393125978E-02
36,3.74331911152913E-02
37,3.65875911764135E-02
38,3.57821838677409E-02
39,3.50140409795407E-02
40,3.42805211680007E-02
41,3.35792352740233E-02
42,3.29080165366776E-02
43,3.22648949085799E-02
44,3.16480748260682E-02
45,3.10559159030635E-02
46,3.04869161103020E-02
47,2.99396970763989E-02
48,2.94129912076039E-02
49,2.89056303722901E-02
50,2.84165359363554E-02
51,2.79447099687134E-02
52,2.74892274632629E-02
53,2.70492294463200E-02
54,2.66239168572978E-02
55,2.62125451062100E-02
56,2.58144192248088E-02
57,2.54288895394070E-02
58,2.50553478029404E-02
59,2.46932237319472E-02
60,2.43419819010884E-02
61,2.40011189538075E-02
62,2.36701610928706E-02
63,2.33486618189799E-02
64,2.30361998895256E-02
65,2.27323774728857E-02
66,2.24368184766255E-02
67,2.21491670305083E-02
68,2.18690861074606E-02
69,2.15962562676125E-02
70,2.13303745122526E-02
71,2.10711532360617E-02
72,2.08183192673197E-02
73,2.05716129869668E-02
74,2.03307875184273E-02
75,2.00956079810372E-02
76,1.98658508007080E-02
77,1.96413030721917E-02
78,1.94217619679308E-02
79,1.92070341890436E-02
80,1.89969354544841E-02
81,1.87912900248560E-02
82,1.85899302577430E-02
83,1.83926961917634E-02
84,1.81994351568511E-02
85,1.80100014085442E-02
86,1.78242557842843E-02
87,1.76420653799514E-02
88,1.74633032450361E-02
89,1.72878480950157E-02
90,1.71155840396519E-02
91,1.69464003260411E-02
92,1.67801910953843E-02
93,1.66168551525172E-02
94,1.64562957473565E-02
95,1.62984203674773E-02
96,1.61431405411182E-02
97,1.59903716499650E-02
98,1.58400327511324E-02
99,1.56920464077917E-02
100,1.55463385279590E-02
101,1.54028382109793E-02
102,1.52614776012897E-02
103,1.51221917490689E-02
104,1.49849184774108E-02
105,1.48495982556858E-02
106,1.47161740787751E-02
107,1.45845913518865E-02
108,1.44547977806741E-02
109,1.43267432664059E-02
110,1.42003798059368E-02
111,1.40756613962580E-02
112,1.39525439434090E-02
113,1.38309851755468E-02
114,1.37109445599813E-02
115,1.35923832239944E-02
116,1.34752638792675E-02
117,1.33595507497585E-02
118,1.32452095028639E-02
119,1.31322071837256E-02
120,1.30205121525347E-02
121,1.29100940247014E-02
122,1.28009236137594E-02
123,1.26929728768832E-02
124,1.25862148629024E-02
125,1.24806236626988E-02
126,1.23761743618803E-02
127,1.22728429956305E-02
128,1.21706065056342E-02
129,1.20694426989878E-02
130,1.19693302090037E-02
131,1.18702484578232E-02
132,1.17721776207591E-02
133,1.16750985922849E-02
134,1.15789929536017E-02
135,1.14838429417068E-02
136,1.13896314198983E-02
137,1.12963418496496E-02
138,1.12039582637917E-02
139,1.11124652409432E-02
140,1.10218478811307E-02
141,1.09320917825466E-02
142,1.08431830193904E-02
143,1.07551081207434E-02
144,1.06678540504325E-02
145,1.05814081878324E-02
146,1.04957583095677E-02
147,1.04108925720692E-02
148,1.03267994949483E-02
149,1.02434679451488E-02
150,1.01608871218411E-02
151,1.00790465420244E-02
152,9.99793602680389E-03
153,9.91754568830944E-03
154,9.83786591722975E-03
155,9.75888737092866E-03
156,9.68060096211999E-03
157,9.60299784807151E-03
158,9.52606942031611E-03
159,9.44980729484455E-03
160,9.37420330275667E-03
161,9.29924948135124E-03
162,9.22493806563206E-03
163,9.15126148021130E-03
164,9.07821233159175E-03
165,9.00578340080874E-03
166,8.93396763641555E-03
167,8.86275814779719E-03
168,8.79214819879358E-03
169,8.72213120162134E-03
170,8.65270071107706E-03
171,8.58385041901063E-03
172,8.51557414905373E-03
173,8.44786585159410E-03
174,8.38071959898127E-03
175,8.31412958095351E-03
176,8.24809010027683E-03
177,8.18259556858307E-03
178,8.11764050240185E-03
179,8.05321951937149E-03
180,7.98932733462581E-03
181,7.92595875734461E-03
182,7.86310868746251E-03
183,7.80077211252679E-03
184,7.73894410469745E-03
185,7.67761981788437E-03
186,7.61679448501243E-03
187,7.55646341541061E-03
188,7.49662199231757E-03
189,7.43726567049994E-03
190,7.37838997397541E-03
191,7.31999049383868E-03
192,7.26206288618219E-03
193,7.20460287011017E-03
194,7.14760622583895E-03
195,7.09106879288101E-03
196,7.03498646830835E-03
197,6.97935520509116E-03
198,6.92417101050834E-03
199,6.86942994462701E-03
200,6.81512811884642E-03
201,6.76126169450480E-03
202,6.70782688154485E-03
203,6.65481993723554E-03
204,6.60223716494833E-03
205,6.55007491298364E-03
206,6.49832957344633E-03
207,6.44699758116836E-03
208,6.39607541267398E-03
209,6.34555958518891E-03
210,6.29544665568854E-03
211,6.24573321998466E-03
212,6.19641591184906E-03
213,6.14749140217079E-03
214,6.09895639814776E-03
215,6.05080764250944E-03
216,6.00304191276956E-03
217,5.95565602050690E-03
218,5.90864681067532E-03
219,5.86201116093751E-03
220,5.81574598102510E-03
221,5.76984821212230E-03
222,5.72431482627152E-03
223,5.67914282580143E-03
224,5.63432924277473E-03
225,5.58987113845631E-03
226,5.54576560279950E-03
227,5.50200975395079E-03
228,5.45860073777112E-03
229,5.41553572737358E-03
230,5.37281192267712E-03
231,5.33042654997396E-03
232,5.28837686151262E-03
233,5.24666013509355E-03
234,5.20527367367767E-03
235,5.16421480500767E-03
236,5.12348088124101E-03
237,5.08306927859403E-03
238,5.04297739699682E-03
239,5.00320265975868E-03
240,4.96374251324325E-03
241,4.92459442655287E-03
242,4.88575589122234E-03
243,4.84722442092109E-03
244,4.80899755116347E-03
245,4.77107283902724E-03
246,4.73344786287956E-03
247,4.69612022210979E-03
248,4.65908753686999E-03
249,4.62234744782135E-03
250,4.58589761588751E-03
251,4.54973572201351E-03
252,4.51385946693107E-03
253,4.47826657092917E-03
254,4.44295477363011E-03
255,4.40792183377085E-03
256,4.37316552898903E-03
257,4.33868365561393E-03
258,4.30447402846223E-03
259,4.27053448063773E-03
260,4.23686286333553E-03
261,4.20345704565040E-03
262,4.17031491438872E-03
263,4.13743437388456E-03
264,4.10481334581913E-03
265,4.07244976904361E-03
266,4.04034159940592E-03
267,4.00848680957986E-03
268,3.97688338889805E-03
269,3.94552934318787E-03
270,3.91442269460950E-03
271,3.88356148149797E-03
272,3.85294375820705E-03
273,3.82256759495571E-03
274,3.79243107767794E-03
275,3.76253230787392E-03
276,3.73286940246450E-03
277,3.70344049364730E-03
278,3.67424372875524E-03
279,3.64527727011744E-03
280,3.61653929492183E-03
281,3.58802799507995E-03
282,3.55974157709374E-03
283,3.53167826192398E-03
284,3.50383628486096E-03
285,3.47621389539656E-03
286,3.44880935709816E-03
287,3.42162094748445E-03
288,3.39464695790258E-03
289,3.36788569340689E-03
290,3.34133547263956E-03
291,3.31499462771239E-03
292,3.28886150409015E-03
293,3.26293446047539E-03
294,3.23721186869460E-03
295,3.21169211358597E-03
296,3.18637359288783E-03
297,3.16125471712922E-03
298,3.13633390952117E-03
299,3.11160960584933E-03
300,3.08708025436774E-03
301,3.06274431569413E-03
302,3.03860026270590E-03
303,3.01464658043749E-03
304,2.99088176597878E-03
305,2.96730432837458E-03
306,2.94391278852539E-03
307,2.92070567908865E-03
308,2.89768154438157E-03
309,2.87483894028480E-03
310,2.85217643414672E-03
311,2.82969260468932E-03
312,2.80738604191442E-03
313,2.78525534701132E-03
314,2.76329913226481E-03
315,2.74151602096473E-03
316,2.71990464731581E-03
317,2.69846365634864E-03
318,2.67719170383166E-03
319,2.65608745618343E-03
320,2.63514959038643E-03
321,2.61437679390123E-03
322,2.59376776458132E-03
323,2.57332121058932E-03
324,2.55303585031325E-03
325,2.53291041228407E-03
326,2.51294363509387E-03
327,2.49313426731446E-03
328,2.47348106741723E-03
329,2.45398280369332E-03
330,2.43463825417464E-03
331,2.41544620655560E-03
332,2.39640545811549E-03
333,2.37751481564166E-03
334,2.35877309535307E-03
335,2.34017912282492E-03
336,2.32173173291352E-03
337,2.30342976968228E-03
338,2.28527208632780E-03
339,2.26725754510696E-03
340,2.24938501726457E-03
341,2.23165338296159E-03
342,2.21406153120396E-03
343,2.19660835977205E-03
344,2.17929277515061E-03
345,2.16211369245961E-03
346,2.14507003538521E-03
347,2.12816073611174E-03
348,2.11138473525399E-03
349,2.09474098179011E-03
350,2.07822843299511E-03
351,2.06184605437496E-03
352,2.04559281960103E-03
353,2.02946771044538E-03
354,2.01346971671631E-03
355,1.99759783619455E-03
356,1.98185107457011E-03
357,1.96622844537928E-03
358,1.95072896994263E-03
359,1.93535167730308E-03
360,1.92009560416475E-03
361,1.90495979483227E-03
362,1.88994330115041E-03
363,1.87504518244446E-03
364,1.86026450546085E-03
365,1.84560034430847E-03
366,1.83105178040035E-03
367,1.81661790239571E-03
368,1.80229780614278E-03
369,1.78809059462171E-03
370,1.77399537788829E-03
371,1.76001127301786E-03
372,1.74613740404982E-03
373,1.73237290193252E-03
374,1.71871690446865E-03
375,1.70516855626096E-03
376,1.69172700865860E-03
377,1.67839141970370E-03
378,1.66516095407847E-03
379,1.65203478305274E-03
380,1.63901208443189E-03
381,1.62609204250518E-03
382,1.61327384799453E-03
383,1.60055669800372E-03
384,1.58793979596790E-03
385,1.57542235160366E-03
386,1.56300358085934E-03
387,1.55068270586587E-03
388,1.53845895488787E-03
389,1.52633156227527E-03
390,1.51429976841527E-03
391,1.50236281968458E-03
392,1.49051996840223E-03
393,1.47877047278260E-03
394,1.46711359688886E-03
395,1.45554861058689E-03
396,1.44407478949935E-03
397,1.43269141496034E-03
398,1.42139777397025E-03
399,1.41019315915114E-03
400,1.39907686870222E-03
401,1.38804820635597E-03
402,1.37710648133445E-03
403,1.36625100830590E-03
404,1.35548110734186E-03
405,1.34479610387449E-03
406,1.33419532865429E-03
407,1.32367811770810E-03
408,1.31324381229757E-03
409,1.30289175887773E-03
410,1.29262130905611E-03
411,1.28243181955207E-03
412,1.27232265215648E-03
413,1.26229317369166E-03
414,1.25234275597179E-03
415,1.24247077576345E-03
416,1.23267661474661E-03
417,1.22295965947580E-03
418,1.21331930134179E-03
419,1.20375493653330E-03
420,1.19426596599930E-03
421,1.18485179541131E-03
422,1.17551183512628E-03
423,1.16624550014963E-03
424,1.15705221009853E-03
425,1.14793138916551E-03
426,1.13888246608252E-03
427,1.12990487408494E-03
428,1.12099805087622E-03
429,1.11216143859257E-03
430,1.10339448376803E-03
431,1.09469663729978E-03
432,1.08606735441374E-03
433,1.07750609463044E-03
434,1.06901232173112E-03
435,1.06058550372418E-03
436,1.05222511281184E-03
437,1.04393062535708E-03
438,1.03570152185077E-03
439,1.02753728687917E-03
440,1.01943740909167E-03
441,1.01140138116872E-03
442,1.00342869979001E-03
443,9.95518865602973E-04
444,9.87671383191558E-04
445,9.79885761045069E-04
446,9.72161511527458E-04
447,9.64498150846793E-04
448,9.56895199024880E-04
449,9.49352179867233E-04
450,9.41868620933253E-04
451,9.34444053506597E-04
452,9.27078012565855E-04
453,9.19770036755396E-04
454,9.12519668356465E-04
455,9.05326453258538E-04
456,8.98189940930800E-04
457,8.91109684394051E-04
458,8.84085240192558E-04
459,8.77116168366407E-04
460,8.70202032423834E-04
461,8.63342399313981E-04
462,8.56536839399694E-04
463,8.49784926430654E-04
464,8.43086237516632E-04
465,8.36440353101072E-04
466,8.29846856934721E-04
467,8.23305336049636E-04
468,8.16815380733261E-04
469,8.10376584502779E-04
470,8.03988544079671E-04
471,7.97650859364410E-04
472,7.91363133411470E-04
473,7.85124972404360E-04
474,7.78935985631078E-04
475,7.72795785459517E-04
476,7.66703987313280E-04
477,7.60660209647552E-04
478,7.54664073925163E-04
479,7.48715204592987E-04
480,7.42813229058276E-04
481,7.36957777665416E-04
482,7.31148483672794E-04
483,7.25384983229724E-04
484,7.19666915353736E-04
485,7.13993921907976E-04
486,7.08365647578695E-04
487,7.02781739853069E-04
488,6.97241848997090E-04
489,6.91745628033668E-04
490,6.86292732720859E-04
491,6.80882821530383E-04
492,6.75515555626147E-04
493,6.70190598843077E-04
494,6.64907617666044E-04
495,6.59666281208969E-04
496,6.54466261194104E-04
497,6.49307231931481E-04
498,6.44188870298498E-04
499,6.39110855719674E-04
500,6.34072870146584E-04
501,6.29074598037945E-04
502,6.24115726339824E-04
503,6.19195944466055E-04
504,6.14314944278789E-04
505,6.09472420069150E-04
506,6.04668068538173E-04
507,5.99901588777688E-04
508,5.95172682251592E-04
509,5.90481052777069E-04
510,5.85826406506079E-04
511,5.81208451906928E-04
512,5.76626899746044E-04
513,5.72081463069803E-04
514,5.67571857186623E-04
515,5.63097799649089E-04
516,5.58659010236268E-04
517,5.54255210936177E-04
518,5.49886125928342E-04
519,5.45551481566545E-04
520,5.41251006361674E-04
521,5.36984430964735E-04
522,5.32751488149932E-04
523,5.28551912798006E-04
524,5.24385441879556E-04
525,5.20251814438632E-04
526,5.16150771576319E-04
527,5.12082056434589E-04
528,5.08045414180162E-04
529,5.04040591988574E-04
530,5.00067339028335E-04
531,4.96125406445201E-04
532,4.92214547346645E-04
533,4.88334516786286E-04
534,4.84485071748670E-04
535,4.80665971133964E-04
536,4.76876975742889E-04
537,4.73117848261736E-04
538,4.69388353247476E-04
539,4.65688257113079E-04
540,4.62017328112802E-04
541,4.58375336327727E-04
542,4.54762053651344E-04
543,4.51177253775270E-04
544,4.47620712175063E-04
545,4.44092206096177E-04
546,4.40591514539993E-04
547,4.37118418249976E-04
548,4.33672699697977E-04
549,4.30254143070551E-04
550,4.26862534255493E-04
551,4.23497660828397E-04
552,4.20159312039364E-04
553,4.16847278799794E-04
554,4.13561353669291E-04
555,4.10301330842686E-04
556,4.07067006137119E-04
557,4.03858176979283E-04
558,4.00674642392702E-04
559,3.97516202985173E-04
560,3.94382660936263E-04
561,3.91273819984918E-04
562,3.88189485417163E-04
563,3.85129464053939E-04
564,3.82093564238969E-04
565,3.79081595826772E-04
566,3.76093370170732E-04
567,3.73128700111331E-04
