# Convergence History Data
# Solver: pbicgstab
# Generated: 2025-08-22 12:57:34
Iteration,Residual
1,3.17195319775378E-01
2,1.77313739353601E-01
3,1.26377626874259E-01
4,9.30398665905268E-02
5,7.33275683165953E-02
6,6.08656416243178E-02
7,4.89424953235360E-02
8,4.21393856201818E-02
9,3.65250230972615E-02
10,3.23487563950905E-02
11,2.82249298991464E-02
12,2.55506216523482E-02
13,2.27652433178010E-02
14,2.06315786399027E-02
15,1.86814407542456E-02
16,1.71382374242091E-02
17,1.57629145504903E-02
18,1.45026846132858E-02
19,1.36353342712720E-02
20,1.27164689750818E-02
21,1.20046987878795E-02
22,1.12957125558682E-02
23,1.05104913633507E-02
24,9.62233871406325E-03
25,8.62883873353800E-03
26,7.37224847405800E-03
27,5.99692612960616E-03
28,4.61535055195741E-03
29,3.34211373113557E-03
30,2.60609969932345E-03
31,2.08920266690737E-03
32,1.76229702983539E-03
33,1.45821594274203E-03
34,1.17125965208685E-03
35,8.86517548769620E-04
36,6.62020667197874E-04
37,5.14881634843564E-04
38,3.83211411461521E-04
39,3.01017967597125E-04
40,1.34607716690840E-04
41,8.79020345180042E-05
42,4.87996679163986E-05
43,2.26591878818140E-05
44,8.24845850412874E-06
45,1.18350745942436E-05
46,9.24771614452682E-06
47,6.43226952713084E-06
48,5.07920683528623E-06
49,4.16701593798244E-06
50,1.38427270113929E-06
51,1.30583333833121E-06
52,1.08168711031301E-06
53,9.71872930263991E-07
