# Convergence History Data
# Solver: pbicgstab
# Smoother: gs
# Generated: 2025-08-23 14:02:07
Iteration,Residual
1,3.86372867219406E-01
2,2.67713354228785E-01
3,2.13764732186353E-01
4,1.79582092268361E-01
5,1.59483568853426E-01
6,1.54304924322127E-01
7,1.49149696980656E-01
8,1.36465058745376E-01
9,1.21166173765507E-01
10,1.19672056786424E-01
11,1.19080182975627E-01
12,1.23611333085429E-01
13,1.02297916593807E-01
14,1.01317810436852E-01
15,1.00353273023215E-01
16,1.05023033642522E-01
17,1.42253250531633E-01
18,1.26862935092126E-01
19,2.46804966404307E-01
20,1.04285713212514E-01
21,1.09928747558441E-01
22,1.05887510543378E-01
23,1.05783293815910E-01
24,1.09952710350252E-01
25,1.09261750793982E-01
26,1.13705233655439E-01
27,1.18184213845381E-01
28,1.57812073300702E-01
29,1.19149375642974E-01
30,1.27405245061922E-01
31,1.26528780217231E-01
32,1.32147558824067E-01
33,1.37447283735983E-01
34,1.44240359765163E-01
35,1.44610318204179E-01
36,1.39769814610110E-01
37,1.50075557639969E-01
38,1.48774677877387E-01
39,1.44570609463585E-01
40,1.49240683449585E-01
41,1.46978826221522E-01
42,1.73820790681905E-01
43,1.56087011308798E-01
44,1.46412713800996E-01
45,1.45796719549301E-01
46,1.47146295678417E-01
47,1.41502546008885E-01
48,1.37396935849404E-01
49,1.35841228412997E-01
50,1.34200795002696E-01
51,1.35809032727329E-01
52,1.38908204378995E-01
53,1.55197427372090E-01
54,1.54827217278619E-01
55,1.50880486878406E-01
56,1.49888515307041E-01
57,2.23423561371073E-01
58,1.66108166838041E-01
59,1.62615850814237E-01
60,1.62646511597421E-01
61,1.51438997567890E-01
62,1.51127263773609E-01
63,1.61782785088065E-01
64,1.55146455036691E-01
65,1.52546886315986E-01
66,1.57892755989395E-01
67,1.56909070067708E-01
68,1.59985410584583E-01
69,1.60227073636101E-01
70,1.60952721557878E-01
71,1.61531000489511E-01
72,1.60135622924943E-01
73,1.85113997771721E-01
74,1.59147992839361E-01
75,1.59058022109119E-01
76,1.59012811793910E-01
77,1.58803003542543E-01
78,1.58901788521861E-01
79,1.55544769357932E-01
80,1.94073240511244E-01
81,1.56929890689994E-01
82,1.51871090476812E-01
83,1.50996679739911E-01
84,1.48601674040326E-01
85,1.48519369623607E-01
86,1.47275536240244E-01
87,1.43552467911947E-01
88,1.42337775289513E-01
89,1.38554533873212E-01
90,1.38559274959102E-01
91,1.62612745186602E-01
92,1.34882600477546E-01
93,1.34876463204890E-01
94,1.32666714176536E-01
95,1.29718599142001E-01
96,1.30266252810012E-01
97,1.30175330431450E-01
98,2.00844001629560E-01
99,1.33454966505203E-01
100,1.21371229076308E-01
101,1.17213962938656E-01
102,1.17851264347873E-01
103,1.71162696626721E-01
104,1.24893581262940E-01
105,1.23945685361186E-01
106,1.25588496482210E-01
107,1.28896125267724E-01
108,1.26847579610519E-01
109,1.27261315894919E-01
110,1.25508357697272E-01
111,1.30548799902745E-01
112,1.28887302703078E-01
113,1.29590920713273E-01
114,1.30417688092272E-01
