# Convergence History Data
# Solver: sor
# Generated: 2025-08-22 13:14:51
Iteration,Residual
1,1.34706497949852E+00
2,6.43293606458768E-01
3,4.10019574634591E-01
4,3.02159199542867E-01
5,2.41322622145006E-01
6,2.02236806947121E-01
7,1.74831374405256E-01
8,1.54424332088390E-01
9,1.38561463088450E-01
10,1.25830735546460E-01
11,1.15359091730844E-01
12,1.06575573810238E-01
13,9.90898220922907E-02
14,9.26251969385253E-02
15,8.69797713104578E-02
16,8.20024617153142E-02
17,7.75778243626249E-02
18,7.36160357072234E-02
19,7.00460940956890E-02
20,6.68110889039500E-02
21,6.38648348913335E-02
22,6.11694308352934E-02
23,5.86934579452840E-02
24,5.64106299742193E-02
25,5.42987679421382E-02
26,5.23390118856318E-02
27,5.05152081726165E-02
28,4.88134285409073E-02
29,4.72215891150472E-02
30,4.57291460985198E-02
31,4.43268508222921E-02
32,4.30065511323889E-02
33,4.17610292326965E-02
34,4.05838684095346E-02
35,3.94693427869888E-02
36,3.84123255592912E-02
37,3.74082121325788E-02
38,3.64528553641256E-02
39,3.55425106706761E-02
40,3.46737892310809E-02
41,3.38436178630632E-02
42,3.30492044326659E-02
43,3.22880078750195E-02
44,3.15577120795877E-02
45,3.08562030319408E-02
46,3.01815487150553E-02
47,2.95319813620272E-02
48,2.89058817235444E-02
49,2.83017650710704E-02
50,2.77182687032962E-02
51,2.71541407612230E-02
52,2.66082301880211E-02
53,2.60794776949750E-02
54,2.55669076154545E-02
55,2.50696205458567E-02
56,2.45867866865388E-02
57,2.41176398074581E-02
58,2.36614717730225E-02
59,2.32176275688733E-02
60,2.27855007802754E-02
61,2.23645294776924E-02
62,2.19541924701824E-02
63,2.15540058915874E-02
64,2.11635200882539E-02
65,2.07823167802872E-02
66,2.04100064712008E-02
67,2.00462260833348E-02
68,1.96906367986362E-02
69,1.93429220863534E-02
70,1.90027859009623E-02
71,1.86699510351846E-02
72,1.83441576143789E-02
73,1.80251617198330E-02
74,1.77127341296243E-02
75,1.74066591667356E-02
76,1.71067336450436E-02
77,1.68127659046321E-02
78,1.65245749286430E-02
79,1.62419895345705E-02
80,1.59648476335274E-02
81,1.56929955515869E-02
82,1.54262874078191E-02
83,1.51645845441161E-02
84,1.49077550023300E-02
85,1.46556730446384E-02
86,1.44082187134131E-02
87,1.41652774271906E-02
88,1.39267396096419E-02
89,1.36925003487092E-02
90,1.34624590833268E-02
91,1.32365193153640E-02
92,1.30145883446407E-02
93,1.27965770250467E-02
94,1.25823995399722E-02
95,1.23719731954107E-02
96,1.21652182292393E-02
97,1.19620576353091E-02
98,1.17624170011006E-02
99,1.15662243578035E-02
100,1.13734100417816E-02
101,1.11839065664720E-02
102,1.09976485038512E-02
103,1.08145723746745E-02
104,1.06346165467638E-02
105,1.04577211406821E-02
106,1.02838279421888E-02
107,1.01128803209234E-02
108,9.94482315480804E-03
109,9.77960275971278E-03
110,9.61716682395255E-03
111,9.45746434723434E-03
112,9.30044558369684E-03
113,9.14606198872070E-03
114,8.99426616920945E-03
115,8.84501183707261E-03
116,8.69825376565863E-03
117,8.55394774891163E-03
118,8.41205056304181E-03
119,8.27251993051807E-03
120,8.13531448620666E-03
121,8.00039374549509E-03
122,7.86771807425256E-03
123,7.73724866049152E-03
124,7.60894748760560E-03
125,7.48277730906858E-03
126,7.35870162448984E-03
127,7.23668465692898E-03
128,7.11669133138054E-03
129,6.99868725434697E-03
130,6.88263869442406E-03
131,6.76851256382976E-03
132,6.65627640081174E-03
133,6.54589835287543E-03
134,6.43734716077717E-03
135,6.33059214323293E-03
