Z [mm], Temperature [K]
0.000000, 300.000000
0.005000, 303.453766
0.045000, 331.024341
0.050000, 334.409031
0.055000, 335.719551
0.095000, 345.709739
0.100000, 346.950693
0.105000, 346.958309
0.190000, 347.074048
0.195000, 347.077187
0.200000, 347.079916
0.205000, 347.518630
0.245000, 351.015342
0.250000, 351.452796
0.255000, 351.455636
0.340000, 351.522035
0.345000, 351.523514
0.350000, 351.524722
0.355000, 351.718677
0.395000, 353.261155
0.400000, 353.453780
0.405000, 353.454958
0.490000, 353.471902
0.495000, 353.471570
0.500000, 353.471090
0.505000, 353.393677
0.545000, 352.769281
0.550000, 352.690970
0.555000, 352.690441
0.595000, 352.684615
0.600000, 352.683736
