Z [mm], Temperature [K]
0.000000, 300.000000
0.005000, 303.447136
0.045000, 330.967196
0.050000, 334.348409
0.055000, 335.658270
0.095000, 345.669467
0.100000, 346.917447
0.105000, 346.926132
0.190000, 347.217341
0.195000, 347.245589
0.200000, 347.248223
0.205000, 347.673289
0.245000, 351.118273
0.250000, 351.554107
0.255000, 351.557962
0.340000, 351.798979
0.345000, 351.825497
0.350000, 351.826536
0.355000, 351.995126
0.395000, 353.392052
0.400000, 353.571324
0.405000, 353.573443
0.490000, 353.763623
0.495000, 353.788228
0.500000, 353.787476
0.505000, 353.667882
0.545000, 352.759827
0.550000, 352.646908
0.555000, 352.646190
0.595000, 352.639675
0.600000, 352.638797
