Z [mm], Temperature [K]
0.00000000000000E+00, 3.00000000000000E+02
5.00000000000000E-03, 3.03810852261486E+02
4.50000000000000E-02, 3.34233562570072E+02
5.00000000000000E-02, 3.37970013666408E+02
5.50000000000000E-02, 3.39417102675639E+02
9.50000000000000E-02, 3.50461622251749E+02
1.00000000000000E-01, 3.51833813004699E+02
1.05000000000000E-01, 3.51842249687157E+02
1.90000000000000E-01, 3.51972706002101E+02
1.95000000000000E-01, 3.51976496751117E+02
2.00000000000000E-01, 3.51979853914891E+02
2.05000000000000E-01, 3.52519486166163E+02
2.45000000000000E-01, 3.56822862842983E+02
2.50000000000000E-01, 3.57361267504519E+02
2.55000000000000E-01, 3.57364762659667E+02
3.40000000000000E-01, 3.57446488672258E+02
3.45000000000000E-01, 3.57448569224883E+02
3.50000000000000E-01, 3.57450344294578E+02
3.55000000000000E-01, 3.57735593648683E+02
3.95000000000000E-01, 3.60007400681556E+02
4.00000000000000E-01, 3.60291309755314E+02
4.05000000000000E-01, 3.60293084845186E+02
4.90000000000000E-01, 3.60324623806659E+02
4.95000000000000E-01, 3.60324783704732E+02
5.00000000000000E-01, 3.60324754405923E+02
5.05000000000000E-01, 3.60319851982678E+02
5.45000000000000E-01, 3.60274327675253E+02
5.50000000000000E-01, 3.60268551333538E+02
5.55000000000000E-01, 3.60268517178010E+02
5.95000000000000E-01, 3.60268301956909E+02
6.00000000000000E-01, 3.60268291889447E+02
