Z [mm], Temperature [K]
0.00000000000000E+00, 3.00000000000000E+02
5.00000000000000E-03, 3.03805250685055E+02
4.50000000000000E-02, 3.34185633329815E+02
5.00000000000000E-02, 3.37919593485027E+02
5.50000000000000E-02, 3.39366400897578E+02
9.50000000000000E-02, 3.50434641992778E+02
1.00000000000000E-01, 3.51814189197840E+02
1.05000000000000E-01, 3.51823694688131E+02
1.90000000000000E-01, 3.52129456817874E+02
1.95000000000000E-01, 3.52158353785038E+02
2.00000000000000E-01, 3.52161613548262E+02
2.05000000000000E-01, 3.52687223900134E+02
2.45000000000000E-01, 3.56935905558168E+02
2.50000000000000E-01, 3.57472313008940E+02
2.55000000000000E-01, 3.57476819444564E+02
3.40000000000000E-01, 3.57732877580748E+02
3.45000000000000E-01, 3.57759994062537E+02
3.50000000000000E-01, 3.57761600012037E+02
3.55000000000000E-01, 3.58021288533965E+02
3.95000000000000E-01, 3.60146047839932E+02
4.00000000000000E-01, 3.60416419320201E+02
4.05000000000000E-01, 3.60419135109725E+02
4.90000000000000E-01, 3.60623967520867E+02
4.95000000000000E-01, 3.60649081300827E+02
5.00000000000000E-01, 3.60648798029723E+02
5.05000000000000E-01, 3.60604681253102E+02
5.45000000000000E-01, 3.60299276813369E+02
5.50000000000000E-01, 3.60261859424608E+02
5.55000000000000E-01, 3.60261652079001E+02
5.95000000000000E-01, 3.60260816535011E+02
6.00000000000000E-01, 3.60260806415726E+02
