# Convergence History Data
# Solver: pbicgstab
# Smoother: gs
# Generated: 2025-08-18 13:07:59
Iteration,Residual
1,1.12670602659191E-01
2,1.32550047115951E-01
3,1.06685739042213E-01
4,9.15511494399212E-02
5,8.43485377008770E-02
6,7.99320661259530E-02
7,8.29083303985760E-02
8,8.18705534166226E-02
9,1.40291641046800E-01
10,7.73119917774518E-02
11,8.06827616254599E-02
12,7.78311782109000E-02
13,7.62507228029595E-02
14,9.10583735232919E-02
15,1.07656169223727E-01
16,1.04605988151590E-01
17,1.00070121657174E-01
18,9.77635003153387E-02
19,9.34452875426618E-02
20,9.19834513123762E-02
21,9.45184302820244E-02
22,8.96780562069471E-02
23,1.52013211220082E-01
24,9.95380659880306E-02
25,9.77795055054753E-02
26,9.77860570575099E-02
27,2.11733353014046E-01
28,1.20833929141434E-01
29,1.28616701068556E-01
30,1.23148498942940E-01
31,1.13161399526130E-01
32,1.01021781303637E-01
33,4.87591590058465E-01
34,9.21081968346156E-02
35,9.11181978142082E-02
36,9.09856288247968E-02
37,9.55058431563372E-02
38,9.34178842669070E-02
39,9.51139028658381E-02
40,9.76993772578166E-02
41,1.00529953296923E-01
42,1.01445617715451E-01
43,9.98913387285973E-02
44,2.07624501384366E-01
45,8.69704462990987E-02
46,9.00117964854866E-02
47,8.99323437702249E-02
48,8.87594964963778E-02
49,9.27336007209953E-02
50,9.30148491933603E-02
51,9.00186056824303E-02
52,8.85475862473646E-02
53,9.32127865894104E-02
54,8.89409549205598E-02
55,8.91839584943099E-02
56,8.86438820849069E-02
57,9.03335759259750E-02
58,8.74134457964294E-02
59,8.73440258196860E-02
60,8.44175479946101E-02
61,7.59112955859836E-02
62,9.91202626264947E+00
63,7.20524815274165E-02
64,6.82725978876323E-02
65,7.25739371680368E-02
66,6.85641499321036E-02
67,6.64494840665800E-02
68,6.45046044371475E-02
69,6.01574051228463E-02
70,6.04143299382022E-02
71,5.91629096110250E-02
72,4.43476771368909E-02
73,4.62295838510440E-02
74,4.35546655138079E-02
75,4.71472155151015E-02
76,4.56271661415954E-02
77,5.47776587797363E-02
78,4.04532801169553E-02
79,3.45786437495877E-02
80,3.44977651040159E-02
81,4.38512440240024E-02
82,3.68382099147129E-02
83,7.82357775229902E-02
84,2.76717479324252E-02
85,2.77381923376512E-02
86,2.65223254545585E-02
87,2.63889215555381E-02
88,2.62282472326943E-02
89,8.10351483271585E-02
90,1.92534333136872E-02
91,1.92294800127004E-02
92,1.74822749871715E-02
93,1.60586257495805E-02
94,1.52328963151211E-02
95,1.61132423116841E-02
96,1.35979842890602E-02
97,1.26529691034932E-02
98,1.67799519919276E-02
99,5.84879268390085E-03
100,1.35986271752017E-02
101,1.56450337283812E-03
102,1.06523999286184E-03
103,1.06473606618586E-03
104,7.79963740739566E-04
105,6.59159576444276E-04
106,5.31463811902289E-04
107,2.11655783885474E-04
108,1.43951818470426E-03
109,1.20583546283891E-03
110,1.14074704524832E-03
111,7.19804984291606E-04
112,1.46665627847049E-03
113,3.76570029748814E-03
114,2.68929044414445E-03
115,1.35621780971270E-04
116,3.27238421529080E-04
117,1.46242200416370E-04
118,8.33935321536971E-05
