Z [mm], Temperature [K]
0.00000000000000E+00, 3.00000000000000E+02
5.00000000000000E-03, 3.03818258790687E+02
4.50000000000000E-02, 3.34294868720979E+02
5.00000000000000E-02, 3.38032234101308E+02
5.50000000000000E-02, 3.39478345819942E+02
9.50000000000000E-02, 3.50467430404451E+02
1.00000000000000E-01, 3.51832046623074E+02
1.05000000000000E-01, 3.51840448900264E+02
1.90000000000000E-01, 3.51972375108823E+02
1.95000000000000E-01, 3.51976174022757E+02
2.00000000000000E-01, 3.51979530520213E+02
2.05000000000000E-01, 3.52519046755016E+02
2.45000000000000E-01, 3.56821212396277E+02
2.50000000000000E-01, 3.57359560137478E+02
2.55000000000000E-01, 3.57363066361396E+02
3.40000000000000E-01, 3.57446696863016E+02
3.45000000000000E-01, 3.57448788601768E+02
3.50000000000000E-01, 3.57450563520696E+02
3.55000000000000E-01, 3.57735777287223E+02
3.95000000000000E-01, 3.60006917475005E+02
4.00000000000000E-01, 3.60290785052493E+02
4.05000000000000E-01, 3.60292564886811E+02
4.90000000000000E-01, 3.60324936252169E+02
4.95000000000000E-01, 3.60325100843172E+02
5.00000000000000E-01, 3.60325071257141E+02
5.05000000000000E-01, 3.60320117648320E+02
5.45000000000000E-01, 3.60274006670241E+02
5.50000000000000E-01, 3.60268152280587E+02
5.55000000000000E-01, 3.60268117513213E+02
5.95000000000000E-01, 3.60267893374212E+02
6.00000000000000E-01, 3.60267883306050E+02
