Z [mm], Temperature [K]
0.00000000000000E+00, 3.00000000000000E+02
5.00000000000000E-03, 3.03816691088893E+02
4.50000000000000E-02, 3.34286879060877E+02
5.00000000000000E-02, 3.38030328833698E+02
5.50000000000000E-02, 3.39480460769101E+02
9.50000000000000E-02, 3.50561535564037E+02
1.00000000000000E-01, 3.51942474907274E+02
1.05000000000000E-01, 3.51951988822129E+02
1.90000000000000E-01, 3.52257815360917E+02
1.95000000000000E-01, 3.52286584220199E+02
2.00000000000000E-01, 3.52289701570319E+02
2.05000000000000E-01, 3.52792387656708E+02
2.45000000000000E-01, 3.56857237583286E+02
2.50000000000000E-01, 3.57370710167038E+02
2.55000000000000E-01, 3.57375087498342E+02
3.40000000000000E-01, 3.57630985130499E+02
3.45000000000000E-01, 3.57658035782218E+02
3.50000000000000E-01, 3.57659569589709E+02
3.55000000000000E-01, 3.57907646326119E+02
3.95000000000000E-01, 3.59939314968882E+02
4.00000000000000E-01, 3.60198076081049E+02
4.05000000000000E-01, 3.60200727309327E+02
4.90000000000000E-01, 3.60405648700002E+02
4.95000000000000E-01, 3.60430769955704E+02
5.00000000000000E-01, 3.60430494202888E+02
5.05000000000000E-01, 3.60387586916960E+02
5.45000000000000E-01, 3.60091851150749E+02
5.50000000000000E-01, 3.60055639408360E+02
5.55000000000000E-01, 3.60055438564495E+02
5.95000000000000E-01, 3.60054631387193E+02
6.00000000000000E-01, 3.60054621304513E+02
