Z [mm], Temperature [K]
0.00000000000000E+00, 3.00000000000000E+02
5.00000000000000E-03, 3.03814387684740E+02
4.50000000000000E-02, 3.34262345914976E+02
5.00000000000000E-02, 3.37998751467664E+02
5.50000000000000E-02, 3.39445139337806E+02
9.50000000000000E-02, 3.50460914925750E+02
1.00000000000000E-01, 3.51833171060809E+02
1.05000000000000E-01, 3.51842628210456E+02
1.90000000000000E-01, 3.52147253526478E+02
1.95000000000000E-01, 3.52176135370877E+02
2.00000000000000E-01, 3.52179385807008E+02
2.05000000000000E-01, 3.52703501501683E+02
2.45000000000000E-01, 3.56940414043701E+02
2.50000000000000E-01, 3.57475391615274E+02
2.55000000000000E-01, 3.57479886226687E+02
3.40000000000000E-01, 3.57735289269070E+02
3.45000000000000E-01, 3.57762401306937E+02
3.50000000000000E-01, 3.57764006639590E+02
3.55000000000000E-01, 3.58023599752892E+02
3.95000000000000E-01, 3.60147709257202E+02
4.00000000000000E-01, 3.60417988235005E+02
4.05000000000000E-01, 3.60420693869132E+02
4.90000000000000E-01, 3.60623898116805E+02
4.95000000000000E-01, 3.60649002765301E+02
5.00000000000000E-01, 3.60648720104599E+02
5.05000000000000E-01, 3.60604711266644E+02
5.45000000000000E-01, 3.60300532766946E+02
5.50000000000000E-01, 3.60263271559393E+02
5.55000000000000E-01, 3.60263064855286E+02
5.95000000000000E-01, 3.60262223559236E+02
6.00000000000000E-01, 3.60262213439213E+02
